City_ID,City,Country,Date,Current Description,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
154,Slonim,BY,2022-08-11 22:30:40,clear sky,53.0867,25.3219,60.06,87,6,6.64
155,Ouesso,CG,2022-08-11 22:30:40,overcast clouds,1.6136,16.0517,72.79,86,97,2.19
156,Mahajanga,MG,2022-08-11 22:30:41,clear sky,-15.7167,46.3167,68.02,60,0,9.22
157,Saint-Augustin,CA,2022-08-11 22:30:41,overcast clouds,51.226,-58.6502,62.62,90,100,13.09
158,Kruisfontein,ZA,2022-08-11 22:30:41,overcast clouds,-34.0033,24.7314,55.89,92,100,5.1
159,Mpongwe,ZM,2022-08-11 22:30:42,clear sky,-13.5091,28.155,59.88,46,1,6.22
160,Bluff,NZ,2022-08-11 22:30:42,overcast clouds,-46.6,168.3333,44.8,76,99,9.42
161,Isla Mujeres,MX,2022-08-11 22:30:42,scattered clouds,21.2311,-86.731,87.85,77,34,9.28
162,Ossora,RU,2022-08-11 22:30:43,few clouds,59.2353,163.0719,61.34,78,17,7.9
163,Paris,FR,2022-08-11 22:27:50,clear sky,48.8534,2.3488,79.09,41,0,4.61
164,Chokurdakh,RU,2022-08-11 22:30:35,overcast clouds,70.6333,147.9167,49.89,71,100,9.46
165,San Joaquin,US,2022-08-11 22:30:43,clear sky,37.9333,-121.3011,93.27,28,0,10.36
166,Bilma,NE,2022-08-11 22:30:44,scattered clouds,18.6853,12.9164,93.65,11,29,8.57
167,Ajdabiya,LY,2022-08-11 22:30:44,clear sky,30.7554,20.2263,78.75,67,0,8.59
168,Lompoc,US,2022-08-11 22:30:44,clear sky,34.6391,-120.4579,76.84,69,0,14.97
169,Yaan,NG,2022-08-11 22:30:45,light rain,7.3833,8.5667,70.59,98,100,6.67
170,Inhambane,MZ,2022-08-11 22:30:45,clear sky,-23.865,35.3833,68.11,79,0,8.41
171,Solnechnyy,RU,2022-08-11 22:30:46,moderate rain,50.7214,136.6319,55.87,91,99,4.05
172,Mount Gambier,AU,2022-08-11 22:27:42,light rain,-37.8333,140.7667,46.31,100,100,8.05
173,Raudeberg,NO,2022-08-11 22:30:46,overcast clouds,61.9875,5.1352,56.07,93,100,9.95
174,Airai,TL,2022-08-11 22:30:47,broken clouds,-8.9266,125.4092,60.4,89,52,3.44
175,Tahta,EG,2022-08-11 22:30:47,clear sky,26.7693,31.5021,86.41,24,2,7.34
176,Husavik,IS,2022-08-11 22:30:47,broken clouds,66.0449,-17.3389,48.78,79,80,2.93
177,Nikolskoye,RU,2022-08-11 22:30:30,overcast clouds,59.7035,30.7861,64.29,78,100,6.08
178,Osmanabad,IN,2022-08-11 22:30:48,broken clouds,18.1667,76.05,70.3,89,80,18.1
179,Barrow,US,2022-08-11 22:29:14,mist,71.2906,-156.7887,46.42,93,100,17.27
180,Dhidhdhoo,MV,2022-08-11 22:31:49,broken clouds,6.8833,73.1,81.25,81,76,13.62
181,Aksay,RU,2022-08-11 22:31:49,overcast clouds,47.26,39.87,81.25,31,99,7.0
182,Tual,ID,2022-08-11 22:31:49,broken clouds,-5.6667,132.75,79.92,83,83,16.49
183,Zhangjiakou,CN,2022-08-11 22:31:28,overcast clouds,40.81,114.8794,75.34,73,89,4.18
184,Hibbing,US,2022-08-11 22:31:50,clear sky,47.4272,-92.9377,72.91,43,0,5.75
185,Nenjiang,CN,2022-08-11 22:31:50,broken clouds,49.1833,125.2167,60.87,77,79,2.53
186,Maumere,ID,2022-08-11 22:31:50,overcast clouds,-8.6199,122.2111,78.26,83,85,4.9
187,Khairpur,PK,2022-08-11 22:31:51,scattered clouds,27.5295,68.7617,91.4,52,44,12.91
188,Nalut,LY,2022-08-11 22:31:51,few clouds,30.3333,10.85,86.11,26,19,9.93
189,Pisco,PE,2022-08-11 22:31:51,few clouds,-13.7,-76.2167,62.65,77,20,3.44
190,Mahebourg,MU,2022-08-11 22:29:59,light intensity shower rain,-20.4081,57.7,69.26,94,75,18.41
191,Constitucion,CL,2022-08-11 22:31:52,clear sky,-35.3333,-72.4167,48.61,82,0,2.8
192,Longyearbyen,SJ,2022-08-11 22:31:52,overcast clouds,78.2186,15.6401,44.44,81,100,9.22
193,La Sarre,CA,2022-08-11 22:31:53,few clouds,48.8002,-79.1996,64.06,52,20,9.62
194,Asau,RO,2022-08-11 22:31:53,light rain,46.4333,26.4,61.72,73,24,5.21
195,Petropavlovsk-Kamchatskiy,RU,2022-08-11 22:31:54,broken clouds,53.0452,158.6483,55.99,100,75,4.47
196,Arraial Do Cabo,BR,2022-08-11 22:31:54,scattered clouds,-22.9661,-42.0278,67.86,83,40,9.22
197,Hami,CN,2022-08-11 22:31:55,scattered clouds,42.8,93.45,83.89,31,27,14.38
198,Ilulissat,GL,2022-08-11 22:31:55,broken clouds,69.2167,-51.1,41.02,93,75,1.14
